STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSPORT_MODE,Transport mode,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ISL,Iceland,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,1995,,,,M,Missing value; data cannot exist,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ISL,Iceland,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,1995,,,,M,Missing value; data cannot exist,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ISL,Iceland,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,1996,,,,M,Missing value; data cannot exist,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ISL,Iceland,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,1996,,,,M,Missing value; data cannot exist,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ISL,Iceland,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,1997,,,,M,Missing value; data cannot exist,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ISL,Iceland,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,1997,,,,M,Missing value; data cannot exist,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ISL,Iceland,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,1998,,,,M,Missing value; data cannot exist,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ISL,Iceland,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,1998,,,,M,Missing value; data cannot exist,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ISL,Iceland,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,V,Current prices,1999,,,,M,Missing value; data cannot exist,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ISL,Iceland,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,1999,,,,M,Missing value; data cannot exist,,,0,Units,0,Zero,,
DATAFLOW,OECD.ITF:DSD_INFRINV@DF_INFRINV(1.0),Transport infrastructure investment and maintenance spending,I,ISL,Iceland,A,Annual,MNT,Maintenance spending,EUR,Euro,RAIL,Rail,Q,Constant prices,2000,,,,M,Missing value; data cannot exist,,,0,Units,0,Zero,,
